PEOPLE_NEGATIVE_NEW_COUNT,PROVINCE_STATE_CODE,DATA_COMPLETENESS_SCORE_NAME,PEOPLE_POSITIVE_CASES_COUNT,REPORT_DATE,PROVINCE_STATE_NAME,PEOPLE_IN_INTENSIVE_CARE_CURRENTLY_COUNT,PEOPLE_PENDING_CASES_COUNT,PEOPLE_RECOVERED_COUNT,REPORTED_DATE_TIME,PEOPLE_POSITIVE_NEGATIVE_TEST_RESULTS_COUNT,DATA_SOURCE_NAME,PEOPLE_DEATH_NEW_COUNT,PEOPLE_INTUBATED_CUMULATIVE_COUNT,PEOPLE_TEST_RESULTS_NEW_COUNT,PEOPLE_IN_INTENSIVE_CARE_CUMULATIVE_COUNT,PROVINCE_STATE_FIPS_NUMBER,PEOPLE_NEGATIVE_CASES_COUNT,PEOPLE_HOSPITALIZED_NEW_COUNT,PEOPLE_HOSPITALIZED_CUMULATIVE_COUNT,PEOPLE_INTUBATED_CURRENTLY_COUNT,PEOPLE_HOSPITALIZED_CURRENTLY_COUNT,PEOPLE_POSITIVE_NEW_CASES_COUNT,PEOPLE_DEATH_COUNT
1089,AK,A,5558,8/23/2020,Alaska,,,1745,8/23/2020 3:59:00 AM,327440,COVID Tracking Project Historical,1,,1153,,02,321882,0,,7,48,64,32
4859,AL,B,115060,8/23/2020,Alabama,,,44684,8/23/2020 11:00:00 AM,921669,COVID Tracking Project Historical,2,734,5387,1348,01,806609,0,13502,,1093,528,2013
6187,AR,A,56574,8/23/2020,Arkansas,,,50251,8/23/2020 12:00:00 AM,665700,COVID Tracking Project Historical,13,502,6562,,05,609126,12,3920,110,500,375,687
0,AS,C,0,8/23/2020,American Somoa,,,,8/15/2020 12:00:00 AM,1514,COVID Tracking Project Historical,0,,0,,60,1514,0,,,,0,0
6527,AZ,A+,198103,8/23/2020,Arizona,329,,29147,8/23/2020 12:00:00 AM,1150869,COVID Tracking Project Historical,15,,6735,,04,952766,-30,21241,191,969,208,4771
97902,CA,B,663669,8/23/2020,California,1582,,,8/23/2020 12:00:00 AM,10541031,COVID Tracking Project Historical,146,,104679,,06,9877362,0,,,5665,6777,12134
0,CO,A,54883,8/23/2020,Colorado,,,5804,8/22/2020 1:59:00 AM,930152,COVID Tracking Project Historical,0,,11226,,08,594857,23,6831,,258,297,1815
0,CT,B,51519,8/23/2020,Connecticut,,,8893,8/20/2020 8:30:00 PM,1022370,COVID Tracking Project Historical,0,,0,,09,970851,0,11087,,54,0,4460
3550,DC,A+,13590,8/23/2020,District of Columbia,27,,10812,8/22/2020 12:00:00 AM,266046,COVID Tracking Project Historical,0,,3606,,11,252456,0,,12,80,56,604
1902,DE,A+,16895,8/23/2020,Delaware,8,,8936,8/22/2020 6:00:00 PM,221845,COVID Tracking Project Historical,0,,1969,,10,204950,0,,,44,67,600
23812,FL,A,600571,8/23/2020,Florida,,3568,,8/22/2020 11:59:00 PM,4428633,COVID Tracking Project Historical,51,,26786,,12,3828062,139,36903,,4580,2974,10462
20987,GA,A,253949,8/23/2020,Georgia,,,,8/23/2020 2:50:00 PM,2171884,COVID Tracking Project Historical,40,,22714,4265,13,1917935,44,23369,,2360,1727,5132
1022,GU,A,820,8/23/2020,Guam,3,,394,8/22/2020 8:00:00 PM,32591,COVID Tracking Project Historical,0,,1075,,66,31771,0,,,16,53,7
2350,HI,C,6356,8/23/2020,Hawaii,35,,2107,8/22/2020 6:00:00 PM,176184,COVID Tracking Project Historical,1,,2634,,15,169828,40,377,19,192,284,47
3081,IA,A+,56275,8/23/2020,Iowa,82,,43493,8/23/2020 12:00:00 AM,581976,COVID Tracking Project Historical,5,,3621,,19,525701,0,,39,260,540,1036
1134,ID,A,29662,8/23/2020,Idaho,52,,12606,8/22/2020 6:55:00 PM,237280,COVID Tracking Project Historical,2,,1427,346,16,207618,13,1246,,192,293,306
52458,IL,A,221595,8/23/2020,Illinois,339,,,8/23/2020 12:00:00 AM,3705453,COVID Tracking Project Historical,6,,54351,,17,3483858,0,,117,1449,1893,8089
7541,IN,A+,85932,8/23/2020,Indiana,252,,64131,8/22/2020 11:59:00 PM,977802,COVID Tracking Project Historical,2,,8156,2076,18,891870,62,10281,70,894,615,3220
0,KS,A+,36856,8/23/2020,Kansas,89,,1520,8/21/2020 10:00:00 AM,366315,COVID Tracking Project Historical,0,203,0,584,20,329459,0,2159,24,296,0,419
