State,HCAHPS Question,HCAHPS Measure ID,HCAHPS Answer Description,HCAHPS Answer Percent,Footnote,Start Date,End Date
AK,"Patients who reported that their nurses ""Always"" communicated well",H_COMP_1_A_P,"Nurses ""always"" communicated well",78,,10/01/2018,09/30/2019
AK,"Patients who reported that their nurses ""Sometimes"" or ""Never"" communicated well",H_COMP_1_SN_P,"Nurses ""sometimes"" or ""never"" communicated well",4,,10/01/2018,09/30/2019
AK,"Patients who reported that their nurses ""Usually"" communicated well",H_COMP_1_U_P,"Nurses ""usually"" communicated well",18,,10/01/2018,09/30/2019
AK,"Patients who reported that their nurses ""Always"" treated them with courtesy and respect",H_NURSE_RESPECT_A_P,"Nurses ""always"" treated them with courtesy and  respect",85,,10/01/2018,09/30/2019
AK,"Patients who reported that their nurses ""Sometimes"" or ""Never""  treated them with courtesy and respect",H_NURSE_RESPECT_SN_P,"Nurses ""sometimes"" or ""never"" treated them with courtesy and  respect",3,,10/01/2018,09/30/2019
AK,"Patients who reported that their nurses ""Usually""  treated them with courtesy and respect",H_NURSE_RESPECT_U_P,"Nurses ""usually""  treated them with courtesy and  respect",12,,10/01/2018,09/30/2019
AK,"Patients who reported that their nurses ""Always"" listened carefully to them",H_NURSE_LISTEN_A_P,"Nurses ""always"" listened carefully",74,,10/01/2018,09/30/2019
AK,"Patients who reported that their nurses ""Sometimes"" or ""Never"" listened carefully to them",H_NURSE_LISTEN_SN_P,"Nurses ""sometimes"" or ""never"" listened carefully",5,,10/01/2018,09/30/2019
AK,"Patients who reported that their nurses ""Usually"" listened carefully to them",H_NURSE_LISTEN_U_P,"Nurses ""usually"" listened carefully",21,,10/01/2018,09/30/2019
AK,"Patients who reported that their nurses ""Always"" explained things in a way they could understand",H_NURSE_EXPLAIN_A_P,"Nurses ""always"" explained things so they could understand",75,,10/01/2018,09/30/2019
AK,"Patients who reported that their nurses ""Sometimes"" or ""Never"" explained things in a way they could understand",H_NURSE_EXPLAIN_SN_P,"Nurses ""sometimes"" or ""never"" explained things so they could understand",5,,10/01/2018,09/30/2019
AK,"Patients who reported that their nurses ""Usually"" explained things in a way they could understand",H_NURSE_EXPLAIN_U_P,"Nurses ""usually"" explained things so they could understand",20,,10/01/2018,09/30/2019
AK,"Patients who reported that their doctors ""Always"" communicated well",H_COMP_2_A_P,"Doctors ""always"" communicated well",82,,10/01/2018,09/30/2019
AK,"Patients who reported that their doctors ""Sometimes"" or ""Never"" communicated well",H_COMP_2_SN_P,"Doctors ""sometimes"" or ""never"" communicated well",4,,10/01/2018,09/30/2019
AK,"Patients who reported that their doctors ""Usually"" communicated well",H_COMP_2_U_P,"Doctors ""usually"" communicated well",14,,10/01/2018,09/30/2019
AK,"Patients who reported that their doctors ""Always"" treated them with courtesy and respect",H_DOCTOR_RESPECT_A_P,"Doctors ""always"" treated them with courtesy and  respect",88,,10/01/2018,09/30/2019
AK,"Patients who reported that their doctors ""Sometimes"" or ""Never""  treated them with courtesy and respect",H_DOCTOR_RESPECT_SN_P,"Doctors ""sometimes"" or ""never"" treated them with courtesy and  respect",3,,10/01/2018,09/30/2019
AK,"Patients who reported that their doctors ""Usually""  treated them with courtesy and respect",H_DOCTOR_RESPECT_U_P,"Doctors ""usually""  treated them with courtesy and  respect",9,,10/01/2018,09/30/2019
AK,"Patients who reported that their doctors ""Always"" listened carefully to them",H_DOCTOR_LISTEN_A_P,"Doctors ""always"" listened carefully",79,,10/01/2018,09/30/2019
AK,"Patients who reported that their doctors ""Sometimes"" or ""Never"" listened carefully to them",H_DOCTOR_LISTEN_SN_P,"Doctors ""sometimes"" or ""never"" listened carefully",6,,10/01/2018,09/30/2019
AK,"Patients who reported that their doctors ""Usually"" listened carefully to them",H_DOCTOR_LISTEN_U_P,"Doctors ""usually"" listened carefully",15,,10/01/2018,09/30/2019
